SGO Report ID,SGO Report Version,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-7380,2,202403,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,03/19/2024,Division Street at 9th Street,94103
30270-7306,1,202403,SAN_FRANCISCO,V2V Intersection,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/10/2024,10th Street at Mission Street,94103
30270-9169,1,202402,PHOENIX,All Others,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,02/28/2024,East Apache Boulevard at South River Drive,85281
30270-7318,3,202402,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,02/09/2024,E Indian School Road at N 7th Street,85102
30270-7316,2,202402,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,02/26/2024,W. Galveston Street at N. Arizona Avenue,85225
30270-7315,1,202402,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,02/23/2024,Folsom Street at Falmouth Street,94107
30270-7313,1,202402,PHOENIX,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,02/23/2024,E Lamar Road at N 16th Street,85016
30270-7312,1,202402,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,02/21/2024,S. 16th Street towards E. Broadway Road,85040
30270-7311,1,202402,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,02/18/2024,E Camelback Road and N 32rd Street,85016
30270-7309,1,202402,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,02/13/2024,S. McClintock Drive at E. Broadway Rd,85282
30270-7308,1,202402,LOS_ANGELES,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,02/05/2024,Watt Way at Exposition Blvd,90007
30270-7257,2,202402,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,02/22/2024,S Rural Road at E University Drive,85281
30270-7190,2,202402,SAN_FRANCISCO,Motorcycle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,02/19/2024,Fillmore Street at Geary Boulevard,94115
